,Xiaomi,Asus,Mac OS X,Huawei,Windows 10 S,ARM_GPU,Samsung_CPU,Fujitsu,Lenovo,Samsung,Google,Android,Toshiba,HP,Microsoft,Dell,Chuwi,LG,Inches,Vero,2 in 1 Convertible,Apple,Mediacom,macOS,Netbook,Chrome OS,Storage,Windows 10,Windows 7,Linux,No OS,MSI,AMD_CPU,Intel_CPU,Intel_GPU,AMD_GPU,Acer,Weight,Razer,Workstation,Ultrabook,Nvidia_GPU,Gaming,CpuFreq,Notebook,ScreenHeight,ScreenWidth,Ram,Price
1119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,0,0,0,3.52,0,0,0,1,1,2.6,0,1080,1920,8,69929.4672
1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,1,0,0,0,0,0,0,32.0,1,0,0,0,0,0,1,1,0,0,1.35,0,0,0,0,0,1.44,1,1080,1920,4,10442.88
1121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.16,0,0,0,0,0,2.3,1,1080,1920,8,90043.2
1122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.0,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.43,0,0,0,0,0,2.3,1,1080,1920,8,80612.64
1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,500.0,0,0,1,0,0,0,1,1,0,0,2.09,0,0,0,0,0,2.3,1,768,1366,4,27899.0064
1124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,1,0,0,2.0,0,0,0,0,0,2.4,1,768,1366,4,23176.8
1125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,1,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.8,0,0,0,0,0,2.5,0,1080,1920,8,88924.31999999999
1126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1,0,1,0,0,0,0,0,64.0,1,0,0,0,0,0,1,1,0,0,0.69,0,0,0,0,0,1.44,0,1200,1920,4,25521.12
1127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.5,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.26,0,0,1,0,0,2.4,0,768,1366,8,100965.6
1128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,128.0,0,0,0,1,0,0,1,0,0,0,2.4,0,0,0,1,1,2.5,0,1080,1920,8,52693.92
1129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,0,0,0,3.35,0,0,0,1,1,2.3,0,1080,1920,8,60153.12
1130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,2000.0,1,0,0,0,0,0,1,1,0,0,2.04,0,0,0,0,0,2.7,1,768,1366,8,33513.119999999995
